probes,moduleColor,GS.PCD,p.GS.PCD,MEyellow,MEyellow
ACAA1,yellow,-0.08793172,0.072173126,-0.296499475,5.98541E-10
GUCY1B1,yellow,0.420513086,2.20071E-19,0.400445611,1.43738E-17
TNK2,yellow,0.052828194,0.280637126,0.341322185,6.83744E-13
ELMO2,yellow,0.181641181,0.000185389,0.553032723,6.16858E-35
HAGH,yellow,-0.301727645,2.87625E-10,-0.310744697,7.84834E-11
NGFR,yellow,0.526836136,2.67863E-31,0.332620509,2.78445E-12
CNN2,yellow,0.24191798,5.39291E-07,0.546137783,6.00914E-34
CHI3L2,yellow,0.20085246,3.45278E-05,0.686536981,1.08963E-59
SBNO2,yellow,0.358505575,3.74433E-14,0.51519725,8.8096E-30
CALCRL,yellow,0.368742042,6.09145E-15,0.240287318,6.45879E-07
GLP2R,yellow,0.379723883,8.06956E-16,0.203545562,2.69217E-05
DGKA,yellow,0.306940859,1.36482E-10,0.718033877,1.27254E-67
ANKRD44,yellow,0.375921981,1.63887E-15,0.827622421,1.2103E-106
CYB5R4,yellow,0.204432648,2.47852E-05,0.479101928,1.9739E-25
MTHFD2,yellow,0.364385742,1.32983E-14,0.570696255,1.41171E-37
CD84,yellow,0.487923403,1.90277E-26,0.841058568,2.4598E-113
SPI1,yellow,0.462842129,1.23703E-23,0.723760047,3.50532E-69
KIF26A,yellow,0.343932544,4.44827E-13,0.232315332,1.53139E-06
ACSM2B,yellow,-0.26318894,4.55284E-08,-0.322118193,1.43061E-11
SP100,yellow,0.157611214,0.001208626,0.460238931,2.35107E-23
CBFB,yellow,0.274734053,1.08264E-08,0.581459798,2.8901E-39
IFI35,yellow,0.009296549,0.849519744,0.222528823,4.2404E-06
KIF2A,yellow,0.154522368,0.001510698,0.593703006,2.89729E-41
RASGRP2,yellow,0.049366879,0.313401282,0.380155876,7.44101E-16
ADGRF5,yellow,0.384485772,3.27901E-16,0.315919572,3.65009E-11
CLEC2D,yellow,0.188437783,0.000104233,0.886974617,5.3436E-142
MAOB,yellow,-0.08746734,0.073696633,-0.228365553,2.32258E-06
RAB27A,yellow,0.241008755,5.96439E-07,0.296753886,5.77769E-10
SPTB,yellow,0.300370426,3.48388E-10,0.314646558,4.41255E-11
DAPP1,yellow,0.391780399,8.01897E-17,0.925108219,1.7933E-177
FSTL3,yellow,0.265967254,3.24226E-08,0.234777516,1.17678E-06
CDC42,yellow,0.126932833,0.009294787,0.437073279,5.62783E-21
SLC12A3,yellow,0.193202696,6.87671E-05,0.609212393,6.36274E-44
MGAT4A,yellow,0.236391076,9.88669E-07,0.489110633,1.38163E-26
ZFYVE26,yellow,0.108344856,0.026577317,0.467529458,3.83845E-24
UBE2D1,yellow,0.233189381,1.39516E-06,0.567181951,4.87302E-37
STK10,yellow,0.444982889,9.08697E-22,0.836607633,4.7303E-111
ACAP1,yellow,0.310321539,8.34988E-11,0.904886983,8.9238E-157
SIDT1,yellow,0.243987909,4.28143E-07,0.689619337,2.02247E-60
SELENOO,yellow,-0.286204307,2.42826E-09,-0.264622708,3.82304E-08
CD5L,yellow,0.292074359,1.10028E-09,0.166260133,0.000633376
TBX21,yellow,0.359212567,3.30986E-14,0.830041533,8.3489E-108
ATP2A3,yellow,0.385829414,2.53645E-16,0.785409616,6.66743E-89
SCARF1,yellow,0.393638161,5.57068E-17,0.431374721,2.03312E-20
IPCEF1,yellow,0.351442809,1.26246E-13,0.888486425,3.8042E-143
ZZEF1,yellow,0.278549153,6.63508E-09,0.450453873,2.50273E-22
TXK,yellow,0.201829033,3.15607E-05,0.662989859,2.17688E-54
TTC38,yellow,-0.191922985,7.69701E-05,-0.266888176,2.89471E-08
ARHGAP15,yellow,0.376867561,1.37529E-15,0.750224038,6.16528E-77
PAG1,yellow,0.228654838,2.25336E-06,0.320506487,1.8289E-11
ICAM3,yellow,0.369004277,5.80958E-15,0.894561671,6.2446E-148
RARB,yellow,0.394997638,4.26087E-17,0.398399863,2.16673E-17
APBB1IP,yellow,0.223897395,3.68749E-06,0.312576121,5.99583E-11
CST7,yellow,0.300348362,3.49472E-10,0.737414293,4.5805E-73
LAMP3,yellow,0.249327698,2.33795E-07,0.541058894,3.10838E-33
TIGAR,yellow,0.401596345,1.13966E-17,0.443442773,1.30091E-21
PPP2R5C,yellow,-0.0240029,0.624183489,0.323682112,1.12565E-11
P2RY10,yellow,0.252643375,1.59451E-07,0.819971035,4.3615E-103
ITM2A,yellow,0.197213052,4.80779E-05,0.353629761,8.6932E-14
CDH17,yellow,0.181300853,0.00019071,0.21275546,1.1212E-05
LXN,yellow,0.40554846,5.10022E-18,0.729171953,1.08083E-70
SP140,yellow,0.123617902,0.011323405,0.751508232,2.44836E-77
MKNK1,yellow,0.047650665,0.330541501,0.474392657,6.69461E-25
CDC14A,yellow,-0.016668853,0.73370046,0.407408504,3.48041E-18
EPB41L2,yellow,0.263828844,4.21187E-08,0.495647942,2.31864E-27
CPB2,yellow,-0.097766017,0.045496425,-0.327142791,6.58984E-12
COL4A4,yellow,0.324770318,9.51929E-12,0.333375292,2.46944E-12
TCF7,yellow,-0.130020107,0.007703068,0.258514171,7.99015E-08
MEF2C,yellow,0.444513027,1.01401E-21,0.616901488,2.69451E-45
PTPRC,yellow,0.378051786,1.10325E-15,0.916119978,1.2514E-167
STK17B,yellow,0.42306642,1.26693E-19,0.868775973,2.3869E-129
FYB1,yellow,0.430973044,2.22375E-20,0.912803469,2.8404E-164
ME2,yellow,0.279481701,5.87995E-09,0.513909477,1.286E-29
COL19A1,yellow,0.099770539,0.041226326,0.550372213,1.49411E-34
EPB41L3,yellow,0.411862089,1.38046E-18,0.573881314,4.53406E-38
P2RX5,yellow,0.148119685,0.002368452,0.470551866,1.78759E-24
CYLD,yellow,0.343177439,5.0394E-13,0.685060094,2.42383E-59
SLC27A5,yellow,-0.206779384,1.98814E-05,-0.353429793,8.99597E-14
ZNF671,yellow,0.023055436,0.63793662,0.353468402,8.93672E-14
SMAP2,yellow,0.00497134,0.919187364,0.31293474,5.68668E-11
FCN1,yellow,0.377568081,1.20731E-15,0.489732323,1.16786E-26
WDFY1,yellow,0.112611371,0.021135841,0.509245876,4.99306E-29
PILRA,yellow,0.430895659,2.26244E-20,0.65743701,3.29921E-53
MGST2,yellow,-0.275113564,1.03152E-08,-0.276830086,8.28063E-09
NME8,yellow,0.191450367,8.02263E-05,0.391626803,8.26332E-17
LAT2,yellow,0.276261839,8.90682E-09,0.541144033,3.02461E-33
CASS4,yellow,0.298486813,4.53802E-10,0.403334175,8.01314E-18
SIGLEC1,yellow,0.412682251,1.16254E-18,0.588959059,1.76455E-40
SIRPG,yellow,0.256709436,9.89899E-08,0.860339142,4.1173E-124
SLC8B1,yellow,0.182481692,0.000172837,0.278115897,7.01711E-09
OAS1,yellow,0.155284686,0.001430306,0.215223763,8.8075E-06
PEBP1,yellow,-0.368865431,5.95719E-15,-0.406331452,4.34365E-18
FXYD5,yellow,0.265944201,3.25146E-08,0.443554179,1.26766E-21
GMIP,yellow,0.386356824,2.29252E-16,0.766056904,4.64073E-82
LAG3,yellow,0.129453803,0.007975398,0.604248432,4.6813E-43
DDX24,yellow,0.134182871,0.005943175,0.372720984,2.95458E-15
ZBTB25,yellow,0.063417244,0.195132293,0.411107133,1.61631E-18
ARHGAP4,yellow,0.08571937,0.079667772,0.506210369,1.19392E-28
RGS1,yellow,0.414527559,7.8845E-19,0.628077675,2.32048E-47
ICAM1,yellow,0.44336499,1.32463E-21,0.380371235,7.14588E-16
IRAK3,yellow,0.38265299,4.64549E-16,0.42063673,2.14288E-19
FLT3LG,yellow,0.085725921,0.07964468,0.580722721,3.78938E-39
CD209,yellow,0.224834773,3.34928E-06,0.41259593,1.18378E-18
EFNB1,yellow,0.290215602,1.41652E-09,0.329059398,4.88448E-12
NLRC4,yellow,0.397428125,2.63048E-17,0.652470158,3.57584E-52
WDR7,yellow,0.268865223,2.266E-08,0.297871717,4.94511E-10
ABCC6,yellow,-0.178993268,0.000230741,-0.260389378,6.38468E-08
CMTM6,yellow,0.243467633,4.53803E-07,0.283630991,3.41605E-09
TF,yellow,-0.258403776,8.09592E-08,-0.233996892,1.27968E-06
CDV3,yellow,0.174942456,0.000320587,0.407226024,3.61374E-18
APOH,yellow,-0.289463275,1.56821E-09,-0.363706183,1.50047E-14
ANGPT2,yellow,-0.020833721,0.670670619,0.336881324,1.40774E-12
CD200,yellow,0.341210153,6.96414E-13,0.54566983,6.99975E-34
PSME1,yellow,-0.098533318,0.043819947,0.231690482,1.6365E-06
CEBPE,yellow,0.311608386,6.91409E-11,0.624506079,1.08287E-46
TINF2,yellow,-0.013756687,0.778891097,0.430711506,2.35722E-20
ADA2,yellow,0.379689698,8.12146E-16,0.674770196,5.59209E-57
OR1I1,yellow,-0.035980196,0.462623401,0.035843987,0.464320314
PTGS1,yellow,0.285347246,2.72164E-09,0.361270119,2.3076E-14
SH2D3C,yellow,0.399803981,1.63533E-17,0.529712836,1.10619E-31
TREM2,yellow,0.279438936,5.91268E-09,0.39654877,3.13342E-17
IL12RB1,yellow,0.408390836,2.8416E-18,0.854932189,6.2124E-121
WASHC2A,yellow,0.018366498,0.707763587,0.340925771,7.29615E-13
OCEL1,yellow,-0.416569042,5.11676E-19,-0.265219569,3.55378E-08
MYO9B,yellow,0.113587228,0.020036801,0.577273465,1.33413E-38
KCNK6,yellow,0.384152085,3.49428E-16,0.490529729,9.40888E-27
PCDH11Y,yellow,0.112932828,0.020768163,0.282947546,3.738E-09
PRKY,yellow,0.160403134,0.000984494,0.252444994,1.63169E-07
MADCAM1,yellow,-0.080090878,0.101598578,0.242606844,4.99535E-07
SERPIND1,yellow,-0.229987938,1.95912E-06,-0.298548524,4.49903E-10
DERL3,yellow,0.062800824,0.199517595,0.259713493,6.92371E-08
OSM,yellow,0.419596876,2.67989E-19,0.485827016,3.33808E-26
UPB1,yellow,-0.257092161,9.46062E-08,-0.313612646,5.14416E-11
CYTH4,yellow,0.38922875,1.31764E-16,0.813448259,3.4733E-100
MFNG,yellow,0.226972236,2.68542E-06,0.497460324,1.40398E-27
LGALS2,yellow,0.111211257,0.022803935,0.372329827,3.1738E-15
SH3BP1,yellow,0.056688187,0.246928113,0.426097151,6.53795E-20
AP1B1,yellow,0.226408791,2.84704E-06,0.437585357,5.00837E-21
